text,version,trial_type,trial,sentence,Answer.condition,Answer.time_in_minutes,rating,adjective,response,workerid,condition
,m,practice,-1,... terrible.,condition 1,5.123916666666666,4,terrible,0,0,enemy
,m,practice,-1,... bad.,condition 1,5.123916666666666,4,bad,0,0,enemy
,m,practice,-1,... okay.,condition 1,5.123916666666666,4,okay,0.34,0,enemy
,m,practice,-1,... good.,condition 1,5.123916666666666,4,good,0.66,0,enemy
,m,practice,-1,... amazing.,condition 1,5.123916666666666,4,amazing,0,0,enemy
,m,practice,-1,,condition 1,5.123916666666666,4,other,0,0,enemy
The chocolate chip cookies were ,m,trial,1,... terrible.,condition 1,5.123916666666666,1,terrible,0.95,0,enemy
The chocolate chip cookies were ,m,trial,1,... bad.,condition 1,5.123916666666666,1,bad,0.050000000000000044,0,enemy
The chocolate chip cookies were ,m,trial,1,... okay.,condition 1,5.123916666666666,1,okay,0,0,enemy
The chocolate chip cookies were ,m,trial,1,... good.,condition 1,5.123916666666666,1,good,0,0,enemy
The chocolate chip cookies were ,m,trial,1,... amazing.,condition 1,5.123916666666666,1,amazing,0,0,enemy
The chocolate chip cookies were ,m,trial,1,,condition 1,5.123916666666666,1,other,0,0,enemy
The blueberry lavender scone was ,m,trial,2,... terrible.,condition 1,5.123916666666666,4,terrible,0,0,enemy
The blueberry lavender scone was ,m,trial,2,... bad.,condition 1,5.123916666666666,4,bad,0,0,enemy
The blueberry lavender scone was ,m,trial,2,... okay.,condition 1,5.123916666666666,4,okay,0.24,0,enemy
The blueberry lavender scone was ,m,trial,2,... good.,condition 1,5.123916666666666,4,good,0.7600000000000001,0,enemy
The blueberry lavender scone was ,m,trial,2,... amazing.,condition 1,5.123916666666666,4,amazing,0,0,enemy
The blueberry lavender scone was ,m,trial,2,,condition 1,5.123916666666666,4,other,0,0,enemy
The donuts were ,m,trial,3,... terrible.,condition 1,5.123916666666666,4,terrible,0,0,enemy
The donuts were ,m,trial,3,... bad.,condition 1,5.123916666666666,4,bad,0,0,enemy
The donuts were ,m,trial,3,... okay.,condition 1,5.123916666666666,4,okay,0.77,0,enemy
The donuts were ,m,trial,3,... good.,condition 1,5.123916666666666,4,good,0.22999999999999998,0,enemy
The donuts were ,m,trial,3,... amazing.,condition 1,5.123916666666666,4,amazing,0,0,enemy
The donuts were ,m,trial,3,,condition 1,5.123916666666666,4,other,0,0,enemy
The carrot cake was ,m,trial,4,... terrible.,condition 1,5.123916666666666,1,terrible,0.96,0,enemy
The carrot cake was ,m,trial,4,... bad.,condition 1,5.123916666666666,1,bad,0.040000000000000036,0,enemy
The carrot cake was ,m,trial,4,... okay.,condition 1,5.123916666666666,1,okay,1.1102230246251565e-16,0,enemy
The carrot cake was ,m,trial,4,... good.,condition 1,5.123916666666666,1,good,0,0,enemy
The carrot cake was ,m,trial,4,... amazing.,condition 1,5.123916666666666,1,amazing,1.1102230246251565e-16,0,enemy
The carrot cake was ,m,trial,4,,condition 1,5.123916666666666,1,other,0,0,enemy
The lemon loaf was ,m,trial,5,... terrible.,condition 1,5.123916666666666,2,terrible,0.32,0,enemy
The lemon loaf was ,m,trial,5,... bad.,condition 1,5.123916666666666,2,bad,0.68,0,enemy
The lemon loaf was ,m,trial,5,... okay.,condition 1,5.123916666666666,2,okay,0,0,enemy
The lemon loaf was ,m,trial,5,... good.,condition 1,5.123916666666666,2,good,0,0,enemy
The lemon loaf was ,m,trial,5,... amazing.,condition 1,5.123916666666666,2,amazing,0,0,enemy
The lemon loaf was ,m,trial,5,,condition 1,5.123916666666666,2,other,0,0,enemy
The chocolate cake was ,m,trial,6,... terrible.,condition 1,5.123916666666666,3,terrible,0,0,enemy
The chocolate cake was ,m,trial,6,... bad.,condition 1,5.123916666666666,3,bad,0,0,enemy
The chocolate cake was ,m,trial,6,... okay.,condition 1,5.123916666666666,3,okay,0.81,0,enemy
The chocolate cake was ,m,trial,6,... good.,condition 1,5.123916666666666,3,good,0.18999999999999995,0,enemy
The chocolate cake was ,m,trial,6,... amazing.,condition 1,5.123916666666666,3,amazing,0,0,enemy
The chocolate cake was ,m,trial,6,,condition 1,5.123916666666666,3,other,0,0,enemy
The apple pie was ,m,trial,7,... terrible.,condition 1,5.123916666666666,2,terrible,0.08,0,enemy
The apple pie was ,m,trial,7,... bad.,condition 1,5.123916666666666,2,bad,0.9199999999999999,0,enemy
The apple pie was ,m,trial,7,... okay.,condition 1,5.123916666666666,2,okay,0,0,enemy
The apple pie was ,m,trial,7,... good.,condition 1,5.123916666666666,2,good,2.220446049250313e-16,0,enemy
The apple pie was ,m,trial,7,... amazing.,condition 1,5.123916666666666,2,amazing,0,0,enemy
The apple pie was ,m,trial,7,,condition 1,5.123916666666666,2,other,0,0,enemy
The cherry pie was ,m,trial,8,... terrible.,condition 1,5.123916666666666,5,terrible,0,0,enemy
The cherry pie was ,m,trial,8,... bad.,condition 1,5.123916666666666,5,bad,0,0,enemy
The cherry pie was ,m,trial,8,... okay.,condition 1,5.123916666666666,5,okay,0,0,enemy
The cherry pie was ,m,trial,8,... good.,condition 1,5.123916666666666,5,good,0.13,0,enemy
The cherry pie was ,m,trial,8,... amazing.,condition 1,5.123916666666666,5,amazing,0.8700000000000001,0,enemy
The cherry pie was ,m,trial,8,,condition 1,5.123916666666666,5,other,0,0,enemy
The bear claw was ,m,trial,9,... terrible.,condition 1,5.123916666666666,6,terrible,0,0,enemy
The bear claw was ,m,trial,9,... bad.,condition 1,5.123916666666666,6,bad,0,0,enemy
The bear claw was ,m,trial,9,... okay.,condition 1,5.123916666666666,6,okay,0,0,enemy
The bear claw was ,m,trial,9,... good.,condition 1,5.123916666666666,6,good,0.06999999999999995,0,enemy
The bear claw was ,m,trial,9,... amazing.,condition 1,5.123916666666666,6,amazing,0.93,0,enemy
The bear claw was ,m,trial,9,,condition 1,5.123916666666666,6,other,0,0,enemy
The cinnamon rolls were ,m,trial,10,... terrible.,condition 1,5.123916666666666,5,terrible,-2.220446049250313e-16,0,enemy
The cinnamon rolls were ,m,trial,10,... bad.,condition 1,5.123916666666666,5,bad,1.1102230246251565e-16,0,enemy
The cinnamon rolls were ,m,trial,10,... okay.,condition 1,5.123916666666666,5,okay,0,0,enemy
The cinnamon rolls were ,m,trial,10,... good.,condition 1,5.123916666666666,5,good,0.8999999999999999,0,enemy
The cinnamon rolls were ,m,trial,10,... amazing.,condition 1,5.123916666666666,5,amazing,0.1,0,enemy
The cinnamon rolls were ,m,trial,10,,condition 1,5.123916666666666,5,other,2.220446049250313e-16,0,enemy
The croissants were ,m,trial,11,... terrible.,condition 1,5.123916666666666,6,terrible,-4.440892098500626e-16,0,enemy
The croissants were ,m,trial,11,... bad.,condition 1,5.123916666666666,6,bad,2.220446049250313e-16,0,enemy
The croissants were ,m,trial,11,... okay.,condition 1,5.123916666666666,6,okay,-2.220446049250313e-16,0,enemy
The croissants were ,m,trial,11,... good.,condition 1,5.123916666666666,6,good,0.04000000000000026,0,enemy
The croissants were ,m,trial,11,... amazing.,condition 1,5.123916666666666,6,amazing,0.96,0,enemy
The croissants were ,m,trial,11,,condition 1,5.123916666666666,6,other,1.1102230246251565e-16,0,enemy
The pecan pie was ,m,trial,12,... terrible.,condition 1,5.123916666666666,3,terrible,-2.220446049250313e-16,0,enemy
The pecan pie was ,m,trial,12,... bad.,condition 1,5.123916666666666,3,bad,0.11000000000000032,0,enemy
The pecan pie was ,m,trial,12,... okay.,condition 1,5.123916666666666,3,okay,0.84,0,enemy
The pecan pie was ,m,trial,12,... good.,condition 1,5.123916666666666,3,good,0.05,0,enemy
The pecan pie was ,m,trial,12,... amazing.,condition 1,5.123916666666666,3,amazing,0,0,enemy
The pecan pie was ,m,trial,12,,condition 1,5.123916666666666,3,other,0,0,enemy
,f,practice,-1,... terrible.,condition 1,8.988266666666666,4,terrible,0.07,1,enemy
,f,practice,-1,... bad.,condition 1,8.988266666666666,4,bad,0.05,1,enemy
,f,practice,-1,... okay.,condition 1,8.988266666666666,4,okay,0.11,1,enemy
,f,practice,-1,... good.,condition 1,8.988266666666666,4,good,0.61,1,enemy
,f,practice,-1,... amazing.,condition 1,8.988266666666666,4,amazing,0.16000000000000003,1,enemy
,f,practice,-1,,condition 1,8.988266666666666,4,other,0,1,enemy
The cheesecake was ,f,trial,1,... terrible.,condition 1,8.988266666666666,5,terrible,0,1,enemy
The cheesecake was ,f,trial,1,... bad.,condition 1,8.988266666666666,5,bad,0.07,1,enemy
The cheesecake was ,f,trial,1,... okay.,condition 1,8.988266666666666,5,okay,0.15,1,enemy
The cheesecake was ,f,trial,1,... good.,condition 1,8.988266666666666,5,good,0.3,1,enemy
The cheesecake was ,f,trial,1,... amazing.,condition 1,8.988266666666666,5,amazing,0.48,1,enemy
The cheesecake was ,f,trial,1,,condition 1,8.988266666666666,5,other,0,1,enemy
The bear claw was ,f,trial,2,... terrible.,condition 1,8.988266666666666,4,terrible,0.01,1,enemy
The bear claw was ,f,trial,2,... bad.,condition 1,8.988266666666666,4,bad,0.04,1,enemy
The bear claw was ,f,trial,2,... okay.,condition 1,8.988266666666666,4,okay,0.41,1,enemy
The bear claw was ,f,trial,2,... good.,condition 1,8.988266666666666,4,good,0.46,1,enemy
The bear claw was ,f,trial,2,... amazing.,condition 1,8.988266666666666,4,amazing,0.08000000000000018,1,enemy
The bear claw was ,f,trial,2,,condition 1,8.988266666666666,4,other,0,1,enemy
The blueberry lavender scone was ,f,trial,3,... terrible.,condition 1,8.988266666666666,5,terrible,0,1,enemy
The blueberry lavender scone was ,f,trial,3,... bad.,condition 1,8.988266666666666,5,bad,0,1,enemy
The blueberry lavender scone was ,f,trial,3,... okay.,condition 1,8.988266666666666,5,okay,0.09,1,enemy
The blueberry lavender scone was ,f,trial,3,... good.,condition 1,8.988266666666666,5,good,0.31,1,enemy
The blueberry lavender scone was ,f,trial,3,... amazing.,condition 1,8.988266666666666,5,amazing,0.6000000000000001,1,enemy
The blueberry lavender scone was ,f,trial,3,,condition 1,8.988266666666666,5,other,0,1,enemy
The chocolate cake was ,f,trial,4,... terrible.,condition 1,8.988266666666666,6,terrible,0,1,enemy
The chocolate cake was ,f,trial,4,... bad.,condition 1,8.988266666666666,6,bad,0,1,enemy
The chocolate cake was ,f,trial,4,... okay.,condition 1,8.988266666666666,6,okay,0,1,enemy
The chocolate cake was ,f,trial,4,... good.,condition 1,8.988266666666666,6,good,0.13,1,enemy
The chocolate cake was ,f,trial,4,... amazing.,condition 1,8.988266666666666,6,amazing,0.8700000000000001,1,enemy
The chocolate cake was ,f,trial,4,,condition 1,8.988266666666666,6,other,0,1,enemy
The apple pie was ,f,trial,5,... terrible.,condition 1,8.988266666666666,6,terrible,0,1,enemy
The apple pie was ,f,trial,5,... bad.,condition 1,8.988266666666666,6,bad,0,1,enemy
The apple pie was ,f,trial,5,... okay.,condition 1,8.988266666666666,6,okay,0,1,enemy
The apple pie was ,f,trial,5,... good.,condition 1,8.988266666666666,6,good,0.12,1,enemy
The apple pie was ,f,trial,5,... amazing.,condition 1,8.988266666666666,6,amazing,0.8799999999999999,1,enemy
